country	lookback	lookahead	num_layers	train_rmse	test_rmse
Korea, South	5	2	5	191.81152347269602	1199.340935852582
Korea, South	5	3	5	275.2724752538555	1441.879272060407
Korea, South	5	4	5	526.1443274872129	1618.903751148143
Korea, South	5	5	5	610.686904400137	2012.7204733928895
Japan	1	1	5	25.94691089734345	306.03829535290816
Japan	1	2	5	31.699678669158864	341.21712566960906
Japan	1	3	5	38.58926830885029	567.8891198959589
Japan	1	4	5	48.06565870185681	437.80531242500297
Japan	1	5	5	57.83762656967181	472.30273636050595
Japan	2	1	5	27.357569534900797	441.4631862876582
Japan	2	2	5	25.049031918159542	746.0759051015626
Japan	2	3	5	34.92033581714026	767.4366418277503
Japan	2	4	5	43.32032975717039	678.6810670729425
Japan	2	5	5	44.72404483960592	792.4842933763983
Japan	3	1	5	22.970969837207946	629.0799180755339
Japan	3	2	5	31.1362058935609	893.8497218617753
Japan	3	3	5	39.50119702274952	735.2108095754751
Japan	3	4	5	32.37644350199067	1031.7024927315122
Japan	3	5	5	42.32647174096127	1042.8327052636669
Japan	4	1	5	23.87824402143713	880.0089736489623
Japan	4	2	5	26.817513760846765	948.3711095447213
Japan	4	3	5	28.000756864166775	1079.466097305852
Japan	4	4	5	27.22816270345432	1220.706972613552
Japan	4	5	5	31.2147028087508	1334.2183748963848
Japan	5	1	5	22.22492107280804	1020.9490684062905
Japan	5	2	5	24.420812105815585	1119.0214565817507
Japan	5	3	5	22.52487367580661	1312.4849658802525
Japan	5	4	5	26.746375015225233	1422.9066992183675
Japan	5	5	5	27.802062846093502	1432.4017458634585
China, Hubei	1	1	5	2624.168299601172	619.4794059329172
China, Hubei	1	2	5	3537.0876053117395	681.4810449964823
China, Hubei	1	3	5	3529.661385693477	449.93567585650203
China, Hubei	1	4	5	4035.3592736401656	957.5506406508259
China, Hubei	1	5	5	3668.1633791815752	1136.0676328412253
China, Hubei	2	1	5	2541.1026040311685	392.2830984932423
China, Hubei	2	2	5	2842.0246605245434	214.76894557102395
China, Hubei	2	3	5	2906.9900491221374	151.66763381370177
China, Hubei	2	4	5	4322.537682249386	1714.4142327448137
China, Hubei	2	5	5	3148.306210111349	479.3320577831743
China, Hubei	3	1	5	2438.863434512989	240.14771229029378
China, Hubei	3	2	5	2730.9356480709143	282.3802298638065
China, Hubei	3	3	5	2908.093690007822	1252.048080456514
China, Hubei	3	4	5	2880.4917008643956	1215.658709157521
China, Hubei	3	5	5	2673.818985252857	822.2919650744552
China, Hubei	4	1	5	2442.574688495428	1150.4585522767552
China, Hubei	4	2	5	2626.313087313576	516.6547691911438
China, Hubei	4	3	5	2721.3293139229804	173.24712902136704
China, Hubei	4	4	5	2733.63238538118	286.1427901239609
China, Hubei	4	5	5	2698.234850461473	1471.5360251296584
China, Hubei	5	1	5	2405.6299331745095	586.7689693068045
China, Hubei	5	2	5	2690.9048489545794	391.30197271652173
China, Hubei	5	3	5	2706.803781587398	655.4769330693263
China, Hubei	5	4	5	2651.366434027536	1021.3219956740658
China, Hubei	5	5	5	2429.742134101093	1204.7891678863969
US, New York	1	1	5	472.1640706317537	21517.666020473593
US, New York	1	2	5	670.5933578716416	32882.83914223528
US, New York	1	3	5	969.7744976167614	51641.45488614606
US, New York	1	4	5	1981.5900816224607	6297.320420046873
US, New York	1	5	5	1870.1807575633238	50596.894365124084
US, New York	2	1	5	548.609428293853	15008.295814671024
US, New York	2	2	5	875.6520008676547	31330.93030909084
US, New York	2	3	5	940.1428352790174	80072.7065049784
US, New York	2	4	5	853.517333412005	167324.367691033
US, New York	2	5	5	1383.4540713634315	136966.85936798976
US, New York	3	1	5	551.2911043459939	25240.534351919898
US, New York	3	2	5	764.344487830033	46149.920412631596
US, New York	3	3	5	884.9092525526378	112384.54791898401
US, New York	3	4	5	738.5599979604243	169188.31430995592
US, New York	3	5	5	893.3051346869497	213814.76182394792
US, New York	4	1	5	620.6167896141592	18759.782910649552
US, New York	4	2	5	804.8363088284635	66987.02359323147
US, New York	4	3	5	893.3966248423767	120948.13303889599
US, New York	4	4	5	712.9894591643125	208771.97944903965
US, New York	4	5	5	604.5007122038523	260880.67355248163
US, New York	5	1	5	542.1569662100724	25252.48727065248
US, New York	5	2	5	767.5226572303937	124867.36058667331
US, New York	5	3	5	874.0712279919356	108347.1110906444
US, New York	5	4	5	769.1325351530918	180998.47756855015
US, New York	5	5	5	1019.5728139052901	243340.37456275328
